2026-02-14 08:13:44 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 08:24:14 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 08:24:19 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 08:24:40 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 08:24:40 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 08:25:15 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 08:28:05 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 08:28:33 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 08:28:33 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 08:28:33 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 08:28:33 | pacman | INFO |    Network:        mainnet
2026-02-14 10:38:16 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 10:38:33 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 10:38:33 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 10:38:33 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 10:38:33 | pacman | INFO |    Network:        mainnet
2026-02-14 11:29:14 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 11:29:32 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 11:29:32 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 11:29:32 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 11:29:32 | pacman | INFO |    Network:        mainnet
2026-02-14 11:48:32 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 11:48:33 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 11:48:33 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 11:48:33 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 11:48:33 | pacman | INFO |    Network:        mainnet
2026-02-14 11:48:37 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 11:48:38 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 11:53:08 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 11:54:01 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 11:54:08 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 11:54:08 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 11:54:08 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 11:54:08 | pacman | INFO |    Network:        mainnet
2026-02-14 12:01:06 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:01:07 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 12:01:07 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 12:01:07 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 12:01:07 | pacman | INFO |    Network:        mainnet
2026-02-14 12:01:11 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:02:03 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:03:09 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
